order_month,active_customers,total_orders
2020-01,241,244
2020-02,234,238
2020-03,213,214
2020-04,215,216
2020-05,230,234
2020-06,239,244
2020-07,255,256
2020-08,232,235
2020-09,198,199
2020-10,241,243
2020-11,223,230
2020-12,252,254
2021-01,237,240
2021-02,217,222
2021-03,224,229
2021-04,226,228
2021-05,226,228
2021-06,256,258
2021-07,215,218
2021-08,229,230
2021-09,251,255
2021-10,222,225
2021-11,233,239
2021-12,239,244
2022-01,225,229
2022-02,208,213
2022-03,239,245
2022-04,227,232
2022-05,233,236
2022-06,235,239
2022-07,247,253
2022-08,249,256
2022-09,233,238
2022-10,230,235
2022-11,239,244
2022-12,204,208
2023-01,256,261
2023-02,231,233
2023-03,219,219
2023-04,229,230
2023-05,253,254
2023-06,219,224
2023-07,264,265
2023-08,256,259
2023-09,227,230
2023-10,254,256
2023-11,226,227
2023-12,227,229
2024-01,255,259
2024-02,210,212
2024-03,256,258
2024-04,197,201
2024-05,255,257
2024-06,213,216
2024-07,221,223
2024-08,212,219
2024-09,225,227
2024-10,234,234
2024-11,224,224
2024-12,213,214
2025-01,233,236
2025-02,212,213
2025-03,241,242
2025-04,221,227
