customer_id,total_orders,total_spent
2824,2,75.94
2679,2,597.31
2424,3,862.77
9279,3,894.41
4257,2,573.07
9928,2,288.14
5557,2,505.55
3615,3,740.33
5552,3,629.19
2674,5,519.38
6881,2,716.93
5333,4,893.75
8527,2,380.48
2291,3,638.9
6925,2,706.89
2139,2,283.75
2654,3,925.9
6977,2,165.98
4432,5,1587.01
2169,2,584.63
9751,5,1253.91
4598,2,475.81
8517,5,1132.99
5040,2,565.61
7543,3,697.88
9348,3,647.03
2796,4,964.59
7916,2,462.39
7252,4,1120.72
9669,3,305.98
1188,2,664.07
9797,2,499.43
6573,2,335.75
5315,3,916.9
9317,4,1657.73
5889,5,1401.06
9837,4,1190.86
1009,4,1288.17
1319,4,908.89
6038,3,398.01
2290,3,612.58
2133,5,1868.41
3060,2,131.91
3705,2,183.06
7932,6,2194.54
4295,2,810.37
7118,3,372.73
8397,5,1613.93
2049,3,846.06
4770,5,1075.07
2163,3,1266.27
4750,3,863.42
5562,4,1212.52
9834,2,507.11
8744,2,331.25
7669,3,566.89
8062,3,515.53
8651,2,776.85
5073,3,474.53
8350,4,1038.91
5563,4,985.83
8260,2,779.37
2604,2,235
4502,4,1054.84
3697,3,599.95
5673,4,1036.72
8973,3,397
4566,2,984.1
1936,3,314.16
9238,2,794.02
3579,3,888.61
2312,3,1180.25
2113,5,1957.57
5033,3,812.89
2343,2,624.61
5915,3,744.32
1152,3,787.97
9288,2,413.08
2127,3,836.32
5669,4,1010.22
5956,3,899.94
9666,5,1066.73
3200,4,1057.09
4450,4,474.85
5325,2,754.98
1832,3,331.75
5533,3,721.22
3143,4,1000.8
3647,3,1035.91
8007,2,439.63
2232,2,763.41
3442,3,921.2
3426,2,319.28
6050,3,772.18
6862,2,216.78
2684,4,1009.25
7658,4,914.59
3532,3,1062.26
3662,3,677.22
7755,3,463.12
6442,2,874.37
5065,3,652.82
2771,4,674.23
8711,5,1187.53
6728,4,961.04
4652,4,1014.41
7528,2,366.28
5573,3,474.76
7548,3,860.95
6425,3,1311.5
5279,2,587.16
1626,2,210.83
8149,2,614.74
2894,2,542.58
4114,2,582.68
8144,4,1077.01
4228,4,530.65
6409,4,948.15
3041,2,493.85
9308,2,206.35
7211,3,919.5
5978,2,202.33
6279,4,995.45
4501,2,462.44
3780,2,800.53
9445,2,700.41
6085,3,578.81
3414,7,1359.74
8784,2,672.18
4185,3,632.78
9099,3,881.73
7965,4,458.39
9486,2,390.8
5082,2,471.94
8478,2,376.19
9702,3,692.06
6198,3,925.1
8305,4,823.7
8777,2,420.1
5543,3,932.51
8206,3,484.11
9849,4,618.02
4788,2,495.89
4505,2,135.94
6421,5,1357.65
2020,4,814.34
7381,2,793.29
7232,4,1186.68
5892,2,797.34
9818,6,1693.68
4613,5,1430.64
8140,2,509.39
3704,3,1091.03
3223,3,703.38
1823,2,305.81
4467,2,664.77
5133,2,655.66
6733,3,817.2
1659,2,455.07
3496,3,472.59
2874,3,957.44
3749,2,656.84
2876,4,1333.36
6096,4,633.95
6111,2,638.79
7498,2,580.48
2245,5,1582.91
2983,3,674.01
1672,5,966.46
7071,4,1205.65
3885,6,1273.57
5425,2,703.55
8921,4,1090.66
5397,3,702.62
2419,2,586.53
4995,2,711.73
6325,3,297.31
5581,4,1228.92
5526,2,445.99
4130,3,548.31
8342,2,860.7
5820,4,1044.99
4986,3,541.7
7046,4,1050.45
6419,2,674.75
5438,2,577.45
2976,2,635.81
4033,3,657.06
8933,3,473.82
4180,2,540.74
3939,2,621.92
1893,3,975.65
3068,5,1477.27
2680,3,845.45
5658,2,329.92
6582,6,847.27
5136,2,713.01
9056,2,57.07
1878,3,261.47
2940,4,1177.8
4697,2,639.9
8381,3,863.68
8025,2,372.21
1986,2,552.53
2625,2,972.05
3573,2,163.77
2229,5,912.75
5771,2,186.25
5632,3,571.29
2166,3,884.6
4241,2,481.02
4683,4,1347.5
5982,2,625.07
9199,5,975.33
6280,3,747.93
2496,3,840.72
1339,2,628.72
8708,5,1535.59
8141,2,763.68
2494,3,787.66
6460,5,1692.9
3634,2,530.39
9117,2,567.35
1601,3,905.48
4335,4,770.95
5719,4,754.34
8941,2,558.22
4920,3,582.44
4681,3,1161.13
3522,2,660.9
5781,3,556.07
7807,3,879.71
6568,2,503.1
5377,2,510.88
5891,4,1079.51
9022,3,1186.12
9824,5,1074.43
9903,3,842.89
4090,3,679.94
7274,4,946.28
7246,4,574.11
3492,2,287.03
2633,8,1716.54
6546,2,600.23
2315,3,1025.31
9742,2,582.28
2480,3,562.02
2646,4,871.72
5906,2,600.78
6314,4,1299.31
6873,4,777.86
5000,4,1098.17
3950,2,291.81
7267,2,682.34
9153,2,468
8529,2,535.68
8622,2,712.6
9955,7,1724.29
7951,3,1287.5
5949,2,219.46
8916,3,831.61
5837,4,772.83
