month,total_revenue,total_orders
2020-01,21585.93,86
2020-02,15873.17,71
2020-03,21867.79,81
2020-04,19460.85,70
2020-05,22535.61,87
2020-06,19769.95,79
2020-07,22675.08,88
2020-08,20886.02,79
2020-09,16961.5,70
2020-10,20327.16,74
2020-11,19833.27,84
2020-12,23076.31,82
2021-01,17616.27,82
2021-02,16334.24,69
2021-03,16122.37,66
2021-04,19862.7,74
2021-05,22169.46,88
2021-06,21494.46,88
2021-07,20790.57,76
2021-08,20781.47,78
2021-09,24721.37,96
2021-10,21590.8,85
2021-11,21110.79,85
2021-12,20607.76,81
2022-01,24398.84,90
2022-02,19286.81,76
2022-03,19720.52,76
2022-04,20485.96,79
2022-05,18519.27,79
2022-06,23813.59,88
2022-07,20472.04,83
2022-08,25022.21,94
2022-09,21624.36,82
2022-10,21214.16,78
2022-11,19257.27,80
2022-12,17418.03,70
2023-01,21627.88,85
2023-02,15889.96,68
2023-03,17100.22,66
2023-04,18965.61,77
2023-05,19075.11,76
2023-06,16389.38,73
2023-07,18888.46,80
2023-08,20763.54,82
2023-09,19892.52,78
2023-10,21272.73,80
2023-11,23863.56,94
2023-12,19673.85,73
2024-01,22446.8,90
2024-02,15819.72,76
2024-03,21800.86,85
2024-04,15963.99,68
2024-05,23257.58,86
2024-06,18153.39,67
2024-07,18488.3,72
2024-08,16093.04,67
2024-09,19726.77,73
2024-10,17728.44,72
2024-11,18460.93,80
2024-12,20749.77,77
2025-01,20822.27,83
2025-02,18762.51,70
2025-03,25332.8,96
2025-04,18318.06,69
