customer_id,cohort_month,order_month,month_number
2824,2021-03,2023-05,25
5012,2022-05,2022-05,0
2679,2021-10,2023-11,25
2424,2021-05,2021-11,6
1488,2021-03,2021-03,0
9279,2021-09,2023-12,27
4257,2022-07,2025-03,31
9928,2021-05,2021-05,0
5557,2021-11,2023-03,16
3615,2021-08,2022-07,11
5552,2020-10,2022-12,25
2674,2021-12,2023-01,13
6881,2020-08,2021-01,4
5333,2020-08,2024-10,50
8527,2020-02,2023-12,46
2291,2022-03,2022-03,0
6925,2020-08,2022-11,26
2139,2021-02,2024-05,38
5741,2021-05,2021-05,0
2654,2020-11,2020-11,0
6977,2024-03,2024-10,7
4432,2020-02,2024-09,54
2169,2020-03,2023-07,39
9751,2020-07,2022-04,21
8573,2023-08,2023-08,0
4598,2020-02,2024-11,56
4752,2025-01,2025-01,0
7572,2022-05,2022-05,0
6155,2024-07,2024-07,0
7482,2020-04,2020-04,0
8517,2022-04,2023-12,19
5040,2023-10,2023-10,0
5304,2022-11,2022-11,0
7543,2020-10,2025-03,52
9348,2021-06,2021-06,0
2796,2020-02,2020-02,0
7916,2020-11,2020-11,0
7252,2021-04,2021-04,0
9669,2020-07,2025-02,54
1188,2021-06,2021-06,0
9797,2022-10,2022-10,0
6573,2021-03,2021-03,0
3591,2021-09,2021-09,0
5315,2020-01,2020-01,0
9317,2020-06,2020-08,1
5889,2021-08,2021-08,0
4258,2022-03,2022-03,0
9837,2021-11,2024-05,30
1009,2021-09,2022-05,7
1319,2020-12,2020-12,0
6038,2022-05,2025-03,33
2290,2021-12,2022-12,11
2133,2020-03,2022-12,32
3060,2021-01,2021-01,0
3705,2021-11,2021-11,0
7932,2020-02,2020-09,6
4295,2025-02,2025-02,0
7118,2020-06,2020-06,0
8397,2020-07,2021-12,17
2049,2021-05,2023-07,26
4770,2021-08,2025-02,42
2163,2021-02,2023-12,33
4750,2020-06,2020-06,0
6413,2024-07,2024-07,0
5562,2021-03,2021-03,0
9834,2020-09,2020-09,0
8744,2021-12,2021-12,0
7669,2023-01,2023-06,4
8062,2021-09,2021-09,0
8651,2020-01,2020-01,0
