cohort_month,order_month,month_number,retained_customers
2020-01,2020-01,0,241
2020-01,2020-02,0,1
2020-01,2020-02,1,5
2020-01,2020-03,1,1
2020-01,2020-03,2,1
2020-01,2020-04,2,2
2020-01,2020-04,3,5
2020-01,2020-05,3,5
2020-01,2020-05,4,3
2020-01,2020-06,4,2
2020-01,2020-06,5,5
2020-01,2020-07,5,5
2020-01,2020-07,6,4
2020-01,2020-08,6,4
2020-01,2020-08,7,4
2020-01,2020-09,7,1
2020-01,2020-09,8,3
2020-01,2020-10,8,3
2020-01,2020-10,9,6
2020-01,2020-11,9,4
2020-01,2020-11,10,1
2020-01,2020-12,10,4
2020-01,2021-01,11,4
2020-01,2021-01,12,8
2020-01,2021-02,12,6
2020-01,2021-02,13,3
2020-01,2021-03,14,2
2020-01,2021-04,14,2
2020-01,2021-04,15,2
2020-01,2021-05,15,6
2020-01,2021-05,16,3
2020-01,2021-06,16,6
2020-01,2021-06,17,1
2020-01,2021-07,17,4
2020-01,2021-07,18,1
2020-01,2021-08,18,5
2020-01,2021-09,19,4
2020-01,2021-09,20,2
2020-01,2021-10,20,6
2020-01,2021-10,21,7
2020-01,2021-11,21,2
2020-01,2021-11,22,1
2020-01,2021-12,22,5
2020-01,2021-12,23,2
2020-01,2022-01,23,5
2020-01,2022-01,24,3
2020-01,2022-02,24,6
2020-01,2022-02,25,2
2020-01,2022-03,25,3
2020-01,2022-03,26,3
2020-01,2022-04,26,1
2020-01,2022-04,27,7
2020-01,2022-05,27,5
2020-01,2022-05,28,1
2020-01,2022-06,28,4
2020-01,2022-06,29,2
2020-01,2022-07,29,1
2020-01,2022-07,30,1
2020-01,2022-08,30,6
2020-01,2022-08,31,3
2020-01,2022-09,31,4
2020-01,2022-10,32,6
2020-01,2022-10,33,2
2020-01,2022-11,33,4
2020-01,2022-11,34,1
2020-01,2022-12,34,3
2020-01,2022-12,35,2
2020-01,2023-01,35,4
2020-01,2023-01,36,4
2020-01,2023-02,36,5
2020-01,2023-02,37,6
2020-01,2023-03,37,1
2020-01,2023-03,38,4
2020-01,2023-04,38,1
2020-01,2023-04,39,2
2020-01,2023-05,39,5
2020-01,2023-05,40,5
2020-01,2023-06,40,3
2020-01,2023-06,41,1
2020-01,2023-07,41,4
2020-01,2023-07,42,3
2020-01,2023-08,42,4
2020-01,2023-08,43,2
2020-01,2023-09,43,4
2020-01,2023-09,44,2
2020-01,2023-10,44,3
2020-01,2023-10,45,2
2020-01,2023-11,45,2
2020-01,2023-11,46,4
2020-01,2023-12,46,2
2020-01,2023-12,47,3
2020-01,2024-01,47,1
2020-01,2024-01,48,3
2020-01,2024-02,48,1
2020-01,2024-02,49,3
2020-01,2024-03,49,5
2020-01,2024-03,50,2
2020-01,2024-04,50,1
2020-01,2024-04,51,5
2020-01,2024-05,51,3
2020-01,2024-05,52,3
2020-01,2024-06,52,3
2020-01,2024-06,53,2
2020-01,2024-07,53,6
2020-01,2024-07,54,5
2020-01,2024-08,54,2
2020-01,2024-08,55,3
2020-01,2024-09,56,3
2020-01,2024-10,56,2
2020-01,2024-10,57,2
2020-01,2024-11,57,2
2020-01,2024-11,58,1
2020-01,2024-12,58,3
2020-01,2024-12,59,1
2020-01,2025-01,59,2
2020-01,2025-01,60,4
2020-01,2025-02,60,3
2020-01,2025-02,61,1
2020-01,2025-03,61,1
2020-01,2025-03,62,3
2020-01,2025-04,62,3
2020-01,2025-04,63,3
2020-02,2020-02,0,228
2020-02,2020-03,0,3
2020-02,2020-03,1,1
2020-02,2020-04,1,4
2020-02,2020-04,2,4
2020-02,2020-05,2,4
2020-02,2020-05,3,2
2020-02,2020-06,3,2
2020-02,2020-06,4,4
2020-02,2020-07,4,2
2020-02,2020-07,5,3
2020-02,2020-08,5,4
2020-02,2020-08,6,2
2020-02,2020-09,6,7
2020-02,2020-09,7,4
2020-02,2020-10,7,4
2020-02,2020-10,8,6
2020-02,2020-11,8,2
2020-02,2020-11,9,1
2020-02,2020-12,10,5
2020-02,2021-01,10,1
2020-02,2021-01,11,6
2020-02,2021-02,11,2
2020-02,2021-02,12,4
2020-02,2021-03,12,3
2020-02,2021-03,13,3
2020-02,2021-04,13,3
2020-02,2021-04,14,3
2020-02,2021-05,14,2
2020-02,2021-06,15,3
2020-02,2021-06,16,2
2020-02,2021-07,16,4
2020-02,2021-07,17,3
2020-02,2021-08,17,2
2020-02,2021-08,18,3
2020-02,2021-09,18,3
2020-02,2021-10,19,4
2020-02,2021-10,20,5
2020-02,2021-11,20,3
2020-02,2021-11,21,2
2020-02,2021-12,21,2
2020-02,2021-12,22,2
2020-02,2022-01,22,3
2020-02,2022-01,23,1
2020-02,2022-02,23,4
2020-02,2022-02,24,2
2020-02,2022-03,24,2
2020-02,2022-03,25,4
2020-02,2022-04,26,3
2020-02,2022-05,26,3
2020-02,2022-05,27,3
2020-02,2022-06,27,4
2020-02,2022-06,28,6
2020-02,2022-07,28,2
2020-02,2022-07,29,5
2020-02,2022-08,29,4
2020-02,2022-08,30,5
2020-02,2022-09,30,4
2020-02,2022-09,31,4
2020-02,2022-10,31,1
2020-02,2022-10,32,5
2020-02,2022-11,32,3
2020-02,2022-11,33,3
2020-02,2022-12,33,1
2020-02,2022-12,34,3
2020-02,2023-01,34,4
2020-02,2023-01,35,3
2020-02,2023-02,35,3
2020-02,2023-02,36,1
2020-02,2023-03,36,4
2020-02,2023-03,37,2
2020-02,2023-04,37,1
2020-02,2023-04,38,5
2020-02,2023-05,38,3
2020-02,2023-05,39,4
2020-02,2023-06,39,1
2020-02,2023-06,40,1
2020-02,2023-07,40,1
2020-02,2023-07,41,7
2020-02,2023-08,41,3
2020-02,2023-08,42,2
2020-02,2023-09,42,3
2020-02,2023-09,43,3
2020-02,2023-10,43,1
2020-02,2023-10,44,3
2020-02,2023-11,44,4
2020-02,2023-11,45,4
2020-02,2023-12,45,2
2020-02,2023-12,46,1
2020-02,2024-01,46,4
2020-02,2024-01,47,3
2020-02,2024-02,48,4
2020-02,2024-03,49,2
2020-02,2024-04,49,4
2020-02,2024-04,50,4
2020-02,2024-05,50,2
2020-02,2024-05,51,2
2020-02,2024-06,51,6
2020-02,2024-06,52,3
2020-02,2024-07,52,3
2020-02,2024-08,53,2
2020-02,2024-08,54,2
2020-02,2024-09,54,4
2020-02,2024-09,55,3
2020-02,2024-10,55,4
2020-02,2024-10,56,7
2020-02,2024-11,56,3
2020-02,2024-11,57,5
2020-02,2024-12,57,1
2020-02,2024-12,58,5
2020-02,2025-01,58,1
2020-02,2025-01,59,3
2020-02,2025-02,60,5
2020-02,2025-03,60,3
2020-02,2025-03,61,4
2020-02,2025-04,61,4
2020-02,2025-04,62,6
2020-03,2020-03,0,207
2020-03,2020-05,1,4
2020-03,2020-05,2,1
2020-03,2020-06,2,4
2020-03,2020-06,3,3
2020-03,2020-07,3,5
2020-03,2020-07,4,3
2020-03,2020-08,5,2
2020-03,2020-09,5,1
2020-03,2020-09,6,4
2020-03,2020-10,6,4
2020-03,2020-10,7,5
2020-03,2020-11,7,3
2020-03,2020-11,8,4
2020-03,2020-12,8,2
2020-03,2020-12,9,3
2020-03,2021-01,9,3
2020-03,2021-01,10,3
2020-03,2021-02,10,1
2020-03,2021-02,11,2
2020-03,2021-03,11,4
2020-03,2021-03,12,3
2020-03,2021-04,12,2
2020-03,2021-04,13,3
2020-03,2021-05,13,1
2020-03,2021-05,14,4
2020-03,2021-06,14,3
2020-03,2021-06,15,2
2020-03,2021-07,15,4
2020-03,2021-07,16,6
2020-03,2021-08,16,2
2020-03,2021-08,17,3
2020-03,2021-09,17,4
2020-03,2021-09,18,6
2020-03,2021-10,18,1
2020-03,2021-10,19,2
2020-03,2021-11,19,1
2020-03,2021-11,20,4
2020-03,2021-12,20,3
2020-03,2021-12,21,6
2020-03,2022-01,21,3
2020-03,2022-01,22,2
2020-03,2022-02,23,1
2020-03,2022-03,23,1
2020-03,2022-03,24,3
2020-03,2022-04,24,1
2020-03,2022-04,25,1
2020-03,2022-05,25,2
2020-03,2022-06,26,3
2020-03,2022-06,27,2
2020-03,2022-07,27,2
2020-03,2022-07,28,4
2020-03,2022-08,28,4
2020-03,2022-08,29,3
2020-03,2022-09,29,2
2020-03,2022-09,30,2
2020-03,2022-10,30,1
2020-03,2022-10,31,2
2020-03,2022-11,31,2
2020-03,2022-12,32,3
2020-03,2022-12,33,5
2020-03,2023-01,33,2
2020-03,2023-01,34,5
2020-03,2023-02,34,5
2020-03,2023-02,35,2
2020-03,2023-03,35,1
2020-03,2023-03,36,5
2020-03,2023-04,36,5
2020-03,2023-05,37,5
2020-03,2023-05,38,3
2020-03,2023-06,38,1
2020-03,2023-06,39,4
2020-03,2023-07,39,5
2020-03,2023-07,40,2
2020-03,2023-08,40,3
2020-03,2023-08,41,2
2020-03,2023-09,41,2
2020-03,2023-09,42,3
2020-03,2023-10,42,3
2020-03,2023-10,43,4
2020-03,2023-11,43,3
2020-03,2023-11,44,1
2020-03,2023-12,45,4
2020-03,2024-01,45,1
2020-03,2024-01,46,2
2020-03,2024-02,46,3
2020-03,2024-02,47,1
2020-03,2024-03,47,2
2020-03,2024-03,48,9
2020-03,2024-04,49,5
2020-03,2024-05,49,2
2020-03,2024-05,50,1
2020-03,2024-06,51,1
2020-03,2024-07,52,4
2020-03,2024-08,52,1
2020-03,2024-08,53,4
2020-03,2024-09,53,2
2020-03,2024-09,54,4
2020-03,2024-10,55,4
2020-03,2024-11,55,1
2020-03,2024-11,56,4
2020-03,2024-12,56,3
2020-03,2024-12,57,1
2020-03,2025-01,57,2
2020-03,2025-01,58,3
2020-03,2025-02,58,3
2020-03,2025-02,59,5
2020-03,2025-03,59,2
2020-03,2025-04,61,6
2020-04,2020-04,0,200
2020-04,2020-05,1,2
2020-04,2020-06,1,1
2020-04,2020-06,2,6
2020-04,2020-07,2,6
2020-04,2020-07,3,4
2020-04,2020-08,3,1
2020-04,2020-08,4,4
2020-04,2020-09,4,2
2020-04,2020-10,5,2
2020-04,2020-10,6,3
2020-04,2020-11,6,2
2020-04,2020-11,7,4
2020-04,2020-12,7,4
2020-04,2020-12,8,5
2020-04,2021-01,8,1
2020-04,2021-01,9,2
2020-04,2021-02,9,6
2020-04,2021-02,10,2
2020-04,2021-03,10,1
2020-04,2021-03,11,2
2020-04,2021-04,11,3
2020-04,2021-04,12,2
2020-04,2021-05,12,3
2020-04,2021-05,13,4
2020-04,2021-06,13,3
2020-04,2021-06,14,5
2020-04,2021-07,14,3
2020-04,2021-07,15,2
2020-04,2021-08,15,2
2020-04,2021-08,16,2
2020-04,2021-09,16,1
2020-04,2021-09,17,2
2020-04,2021-10,17,1
2020-04,2021-10,18,4
2020-04,2021-11,18,1
2020-04,2021-11,19,6
2020-04,2021-12,19,2
2020-04,2021-12,20,3
2020-04,2022-01,20,2
2020-04,2022-01,21,2
2020-04,2022-02,21,4
2020-04,2022-02,22,2
2020-04,2022-03,22,4
2020-04,2022-03,23,3
2020-04,2022-04,23,1
2020-04,2022-04,24,1
2020-04,2022-05,24,3
2020-04,2022-05,25,1
2020-04,2022-06,25,4
2020-04,2022-06,26,3
2020-04,2022-07,26,2
2020-04,2022-07,27,1
2020-04,2022-08,27,3
2020-04,2022-08,28,2
2020-04,2022-09,28,2
2020-04,2022-09,29,1
2020-04,2022-10,30,2
2020-04,2022-11,30,3
2020-04,2022-11,31,1
2020-04,2022-12,31,4
2020-04,2022-12,32,1
2020-04,2023-01,32,2
2020-04,2023-02,33,1
2020-04,2023-02,34,2
2020-04,2023-03,34,2
2020-04,2023-03,35,4
2020-04,2023-04,36,2
2020-04,2023-05,36,2
2020-04,2023-06,37,1
2020-04,2023-06,38,5
2020-04,2023-07,38,1
2020-04,2023-07,39,2
2020-04,2023-08,39,1
2020-04,2023-08,40,1
2020-04,2023-09,40,2
2020-04,2023-09,41,4
2020-04,2023-10,41,4
2020-04,2023-10,42,2
2020-04,2023-11,42,3
2020-04,2023-11,43,1
2020-04,2023-12,43,7
2020-04,2023-12,44,6
2020-04,2024-01,44,3
2020-04,2024-01,45,4
2020-04,2024-02,45,4
2020-04,2024-02,46,3
2020-04,2024-03,46,1
2020-04,2024-03,47,3
2020-04,2024-04,47,4
2020-04,2024-04,48,1
2020-04,2024-05,48,5
2020-04,2024-05,49,4
2020-04,2024-06,49,1
2020-04,2024-06,50,2
2020-04,2024-07,50,4
2020-04,2024-07,51,2
2020-04,2024-08,51,1
2020-04,2024-09,52,3
2020-04,2024-09,53,5
2020-04,2024-10,53,2
2020-04,2024-10,54,1
2020-04,2024-11,54,2
2020-04,2024-11,55,7
2020-04,2024-12,55,1
2020-04,2024-12,56,3
2020-04,2025-01,56,1
2020-04,2025-01,57,5
2020-04,2025-02,57,1
2020-04,2025-03,59,4
2020-04,2025-04,59,4
2020-04,2025-04,60,1
2020-05,2020-05,0,209
2020-05,2020-06,0,2
2020-05,2020-06,1,2
2020-05,2020-07,1,4
2020-05,2020-07,2,6
2020-05,2020-08,2,3
2020-05,2020-09,3,1
2020-05,2020-09,4,4
2020-05,2020-10,4,5
2020-05,2020-10,5,2
2020-05,2020-11,5,6
2020-05,2020-11,6,2
2020-05,2020-12,6,2
2020-05,2020-12,7,4
2020-05,2021-01,7,4
2020-05,2021-01,8,4
2020-05,2021-02,8,4
2020-05,2021-02,9,1
2020-05,2021-03,9,1
2020-05,2021-03,10,4
2020-05,2021-04,10,1
2020-05,2021-04,11,2
2020-05,2021-05,11,4
2020-05,2021-05,12,4
2020-05,2021-06,12,1
2020-05,2021-06,13,3
2020-05,2021-07,13,1
2020-05,2021-07,14,4
2020-05,2021-08,14,1
2020-05,2021-08,15,1
2020-05,2021-09,15,7
2020-05,2021-09,16,2
2020-05,2021-10,16,3
2020-05,2021-10,17,2
2020-05,2021-11,17,2
2020-05,2021-11,18,5
2020-05,2021-12,19,2
2020-05,2022-01,19,2
2020-05,2022-01,20,3
2020-05,2022-02,20,1
2020-05,2022-02,21,3
2020-05,2022-03,21,1
2020-05,2022-03,22,3
2020-05,2022-04,22,5
2020-05,2022-04,23,1
2020-05,2022-05,23,1
2020-05,2022-05,24,3
2020-05,2022-06,25,2
2020-05,2022-07,25,5
2020-05,2022-07,26,4
2020-05,2022-08,26,4
2020-05,2022-08,27,5
2020-05,2022-09,27,2
2020-05,2022-09,28,2
2020-05,2022-10,28,2
2020-05,2022-10,29,2
2020-05,2022-11,29,4
2020-05,2022-11,30,1
2020-05,2022-12,30,3
2020-05,2022-12,31,3
2020-05,2023-01,31,4
2020-05,2023-01,32,6
2020-05,2023-02,32,1
2020-05,2023-02,33,4
2020-05,2023-03,33,1
2020-05,2023-03,34,1
2020-05,2023-04,34,8
2020-05,2023-04,35,2
2020-05,2023-05,35,2
2020-05,2023-05,36,2
2020-05,2023-06,36,4
2020-05,2023-06,37,2
2020-05,2023-07,37,8
2020-05,2023-07,38,4
2020-05,2023-08,38,3
2020-05,2023-08,39,2
2020-05,2023-09,40,1
2020-05,2023-10,40,3
2020-05,2023-10,41,2
2020-05,2023-11,41,2
2020-05,2023-12,42,2
2020-05,2023-12,43,2
2020-05,2024-01,43,4
2020-05,2024-02,44,2
2020-05,2024-02,45,2
2020-05,2024-03,45,7
2020-05,2024-03,46,1
2020-05,2024-04,46,1
2020-05,2024-04,47,2
2020-05,2024-05,47,1
2020-05,2024-05,48,6
2020-05,2024-06,48,3
2020-05,2024-06,49,5
2020-05,2024-07,49,3
2020-05,2024-07,50,4
2020-05,2024-08,50,2
2020-05,2024-08,51,1
2020-05,2024-09,51,3
2020-05,2024-10,52,2
2020-05,2024-10,53,2
2020-05,2024-11,53,3
2020-05,2024-11,54,3
2020-05,2024-12,54,3
2020-05,2024-12,55,3
2020-05,2025-01,55,2
2020-05,2025-01,56,3
2020-05,2025-02,56,4
2020-05,2025-02,57,2
2020-05,2025-03,58,7
2020-05,2025-04,58,1
2020-05,2025-04,59,3
2020-06,2020-06,0,208
2020-06,2020-07,0,3
2020-06,2020-07,1,4
2020-06,2020-08,1,4
2020-06,2020-08,2,4
2020-06,2020-09,2,3
2020-06,2020-09,3,2
2020-06,2020-10,3,4
2020-06,2020-10,4,2
2020-06,2020-11,4,2
2020-06,2020-11,5,4
2020-06,2020-12,5,1
2020-06,2020-12,6,4
2020-06,2021-01,6,4
2020-06,2021-01,7,2
2020-06,2021-02,7,4
2020-06,2021-02,8,3
2020-06,2021-03,8,2
2020-06,2021-03,9,2
2020-06,2021-04,9,4
2020-06,2021-04,10,4
2020-06,2021-05,10,4
2020-06,2021-05,11,1
2020-06,2021-06,11,2
2020-06,2021-07,13,5
2020-06,2021-08,13,3
2020-06,2021-08,14,5
2020-06,2021-09,14,2
2020-06,2021-09,15,4
2020-06,2021-10,15,1
2020-06,2021-10,16,3
2020-06,2021-11,16,3
2020-06,2021-11,17,2
2020-06,2021-12,17,2
2020-06,2021-12,18,3
2020-06,2022-01,18,2
2020-06,2022-01,19,3
2020-06,2022-02,19,1
2020-06,2022-02,20,3
2020-06,2022-03,20,1
2020-06,2022-04,21,1
2020-06,2022-04,22,2
2020-06,2022-05,22,3
2020-06,2022-05,23,2
2020-06,2022-06,23,2
2020-06,2022-06,24,2
2020-06,2022-07,24,5
2020-06,2022-07,25,1
2020-06,2022-08,25,2
2020-06,2022-08,26,4
2020-06,2022-09,26,2
2020-06,2022-09,27,1
2020-06,2022-10,27,4
2020-06,2022-10,28,3
2020-06,2022-11,28,5
2020-06,2022-12,29,3
2020-06,2022-12,30,2
2020-06,2023-01,30,7
2020-06,2023-01,31,1
2020-06,2023-02,31,3
2020-06,2023-02,32,2
2020-06,2023-03,32,3
2020-06,2023-03,33,8
2020-06,2023-04,33,4
2020-06,2023-04,34,4
2020-06,2023-05,34,5
2020-06,2023-05,35,3
2020-06,2023-06,35,3
2020-06,2023-06,36,2
2020-06,2023-07,36,1
2020-06,2023-07,37,1
2020-06,2023-08,38,5
2020-06,2023-09,38,3
2020-06,2023-09,39,1
2020-06,2023-10,39,3
2020-06,2023-10,40,3
2020-06,2023-11,40,4
2020-06,2023-11,41,1
2020-06,2023-12,41,3
2020-06,2023-12,42,1
2020-06,2024-01,42,2
2020-06,2024-01,43,4
2020-06,2024-02,43,4
2020-06,2024-02,44,5
2020-06,2024-03,44,2
2020-06,2024-03,45,5
2020-06,2024-04,45,2
2020-06,2024-04,46,1
2020-06,2024-05,46,4
2020-06,2024-05,47,6
2020-06,2024-06,47,3
2020-06,2024-06,48,5
2020-06,2024-07,48,2
2020-06,2024-07,49,4
2020-06,2024-08,50,1
2020-06,2024-09,50,2
2020-06,2024-09,51,2
2020-06,2024-10,51,3
2020-06,2024-10,52,4
2020-06,2024-11,52,5
2020-06,2024-11,53,4
2020-06,2024-12,53,1
2020-06,2024-12,54,2
2020-06,2025-01,54,2
2020-06,2025-01,55,2
2020-06,2025-02,55,1
2020-06,2025-02,56,4
2020-06,2025-03,56,4
2020-06,2025-03,57,2
2020-06,2025-04,57,4
2020-06,2025-04,58,2
2020-07,2020-07,0,206
2020-07,2020-08,0,2
2020-07,2020-08,1,9
2020-07,2020-09,2,1
2020-07,2020-10,2,1
2020-07,2020-10,3,3
2020-07,2020-11,4,1
2020-07,2020-12,4,1
2020-07,2020-12,5,3
2020-07,2021-01,5,3
2020-07,2021-01,6,1
2020-07,2021-02,6,6
2020-07,2021-02,7,2
2020-07,2021-03,7,3
2020-07,2021-03,8,2
2020-07,2021-04,8,3
2020-07,2021-04,9,1
2020-07,2021-05,9,4
2020-07,2021-05,10,7
2020-07,2021-06,10,4
2020-07,2021-06,11,1
2020-07,2021-07,11,2
2020-07,2021-07,12,2
2020-07,2021-08,12,2
2020-07,2021-08,13,1
2020-07,2021-09,13,5
2020-07,2021-09,14,4
2020-07,2021-10,14,2
2020-07,2021-10,15,3
2020-07,2021-11,15,4
2020-07,2021-11,16,2
2020-07,2021-12,16,3
2020-07,2021-12,17,3
2020-07,2022-01,17,3
2020-07,2022-01,18,2
2020-07,2022-02,18,4
2020-07,2022-02,19,1
2020-07,2022-03,19,3
2020-07,2022-03,20,1
2020-07,2022-04,20,3
2020-07,2022-04,21,2
2020-07,2022-05,21,3
2020-07,2022-05,22,4
2020-07,2022-06,22,2
2020-07,2022-06,23,4
2020-07,2022-07,23,2
2020-07,2022-07,24,5
2020-07,2022-08,24,3
2020-07,2022-08,25,1
2020-07,2022-09,25,1
2020-07,2022-09,26,4
2020-07,2022-10,26,5
2020-07,2022-10,27,3
2020-07,2022-11,27,1
2020-07,2022-11,28,3
2020-07,2022-12,29,3
2020-07,2023-01,29,4
2020-07,2023-01,30,4
2020-07,2023-02,30,3
2020-07,2023-03,31,1
2020-07,2023-04,32,3
2020-07,2023-04,33,2
2020-07,2023-05,33,1
2020-07,2023-05,34,4
2020-07,2023-06,34,3
2020-07,2023-06,35,3
2020-07,2023-07,35,3
2020-07,2023-07,36,5
2020-07,2023-08,36,3
2020-07,2023-08,37,5
2020-07,2023-09,37,3
2020-07,2023-09,38,5
2020-07,2023-10,38,3
2020-07,2023-10,39,2
2020-07,2023-11,39,2
2020-07,2023-11,40,2
2020-07,2023-12,41,1
2020-07,2024-01,41,3
2020-07,2024-01,42,1
2020-07,2024-02,42,3
2020-07,2024-02,43,5
2020-07,2024-03,43,3
2020-07,2024-03,44,1
2020-07,2024-04,44,3
2020-07,2024-04,45,2
2020-07,2024-05,45,5
2020-07,2024-05,46,1
2020-07,2024-06,46,4
2020-07,2024-07,47,2
2020-07,2024-07,48,7
2020-07,2024-08,48,2
2020-07,2024-08,49,1
2020-07,2024-09,49,1
2020-07,2024-10,50,4
2020-07,2024-10,51,2
2020-07,2024-11,51,3
2020-07,2024-11,52,4
2020-07,2024-12,52,2
2020-07,2025-01,53,8
2020-07,2025-01,54,3
2020-07,2025-02,54,2
2020-07,2025-02,55,2
2020-07,2025-03,55,1
2020-07,2025-03,56,4
2020-07,2025-04,56,4
2020-08,2020-08,0,190
2020-08,2020-09,0,2
2020-08,2020-09,1,1
2020-08,2020-10,1,3
2020-08,2020-10,2,1
2020-08,2020-11,2,2
2020-08,2020-11,3,4
2020-08,2020-12,3,1
2020-08,2020-12,4,7
2020-08,2021-01,4,1
2020-08,2021-01,5,9
2020-08,2021-02,5,4
2020-08,2021-02,6,3
2020-08,2021-03,6,3
2020-08,2021-03,7,2
2020-08,2021-04,7,1
2020-08,2021-04,8,5
2020-08,2021-05,8,1
2020-08,2021-05,9,2
2020-08,2021-06,9,1
2020-08,2021-06,10,2
2020-08,2021-07,10,4
2020-08,2021-07,11,2
2020-08,2021-08,11,1
2020-08,2021-08,12,2
2020-08,2021-09,12,1
2020-08,2021-09,13,5
2020-08,2021-10,13,4
2020-08,2021-10,14,2
2020-08,2021-11,14,2
2020-08,2021-11,15,2
2020-08,2021-12,15,4
2020-08,2021-12,16,1
2020-08,2022-01,16,1
