customer_id,cohort_month
2824,2021-03
5012,2022-05
2679,2021-10
2424,2021-05
1488,2021-03
9279,2021-09
4257,2022-07
9928,2021-05
5557,2021-11
3615,2021-08
5552,2020-10
2674,2021-12
6881,2020-08
5333,2020-08
8527,2020-02
2291,2022-03
6925,2020-08
2139,2021-02
5741,2021-05
2654,2020-11
6977,2024-03
4432,2020-02
2169,2020-03
9751,2020-07
8573,2023-08
4598,2020-02
4752,2025-01
7572,2022-05
6155,2024-07
7482,2020-04
8517,2022-04
5040,2023-10
5304,2022-11
7543,2020-10
9348,2021-06
2796,2020-02
7916,2020-11
7252,2021-04
9669,2020-07
1188,2021-06
9797,2022-10
6573,2021-03
3591,2021-09
5315,2020-01
9317,2020-06
5889,2021-08
4258,2022-03
9837,2021-11
1009,2021-09
1319,2020-12
6038,2022-05
2290,2021-12
2133,2020-03
3060,2021-01
3705,2021-11
7932,2020-02
4295,2025-02
7118,2020-06
8397,2020-07
2049,2021-05
4770,2021-08
2163,2021-02
4750,2020-06
6413,2024-07
5562,2021-03
9834,2020-09
8744,2021-12
7669,2023-01
8062,2021-09
8651,2020-01
2612,2021-03
6559,2023-02
5073,2020-07
8350,2021-05
5563,2021-05
8260,2021-05
2604,2021-08
1241,2024-01
3724,2021-09
4502,2020-08
3697,2020-09
5345,2020-10
5673,2021-12
8973,2024-01
4566,2020-05
9883,2020-07
1936,2022-04
9238,2021-03
3579,2020-07
2312,2020-08
2113,2020-02
7615,2024-01
5033,2020-02
2343,2021-07
9565,2023-03
4346,2023-04
4910,2023-07
5915,2021-09
1152,2021-09
2638,2021-09
9288,2024-04
2127,2020-10
5669,2020-08
5956,2021-03
9666,2020-08
5905,2023-08
3200,2021-01
3546,2020-06
4450,2021-02
5325,2020-09
1832,2022-01
5533,2021-08
3143,2022-05
3647,2021-06
8007,2022-02
2232,2022-09
3442,2022-03
3426,2022-03
6050,2020-02
6862,2021-06
2684,2021-10
7658,2020-08
3532,2021-08
3662,2022-06
7755,2023-05
6442,2024-05
5065,2024-01
2771,2021-01
8711,2022-02
6728,2020-03
4652,2020-09
7528,2023-09
5573,2020-11
7548,2023-02
6425,2023-02
5279,2020-05
1626,2021-09
6663,2022-03
8149,2022-01
2894,2021-12
4114,2022-04
8144,2020-05
4228,2022-10
6409,2020-08
3041,2022-10
9308,2021-01
6344,2024-10
3085,2023-08
7211,2021-06
5930,2020-06
5978,2020-06
6279,2020-09
4501,2020-02
3780,2021-06
9445,2022-01
6491,2023-05
6085,2020-04
3414,2020-02
8784,2020-10
8461,2020-10
4185,2020-07
9099,2020-11
1090,2024-04
7965,2021-10
9486,2020-01
5082,2021-01
8478,2021-06
9702,2023-12
6198,2020-03
9270,2024-05
8305,2021-10
8777,2023-04
5543,2020-01
8939,2021-08
8206,2021-04
