customer_id,cohort_month,order_month
2824,2023-05,2023-05
5012,2022-05,2022-05
2679,2023-11,2023-11
2424,2021-11,2021-11
1488,2021-03,2021-03
9279,2023-12,2023-12
4257,2025-03,2025-03
9928,2021-05,2021-05
5557,2023-03,2023-03
3615,2022-07,2022-07
5552,2022-12,2022-12
2674,2023-01,2023-01
6881,2021-01,2021-01
5333,2024-10,2024-10
8527,2023-12,2023-12
2291,2022-03,2022-03
6925,2022-11,2022-11
2139,2024-05,2024-05
5741,2021-05,2021-05
2654,2020-11,2020-11
6977,2024-10,2024-10
4432,2024-09,2024-09
2169,2023-07,2023-07
9751,2022-04,2022-04
8573,2023-08,2023-08
4598,2024-11,2024-11
4752,2025-01,2025-01
7572,2022-05,2022-05
6155,2024-07,2024-07
7482,2020-04,2020-04
8517,2023-12,2023-12
5040,2023-10,2023-10
5304,2022-11,2022-11
7543,2025-03,2025-03
9348,2021-06,2021-06
2796,2020-02,2020-02
7916,2020-11,2020-11
7252,2021-04,2021-04
9669,2025-02,2025-02
1188,2021-06,2021-06
9797,2022-10,2022-10
6573,2021-03,2021-03
3591,2021-09,2021-09
5315,2020-01,2020-01
9317,2020-08,2020-08
5889,2021-08,2021-08
4258,2022-03,2022-03
9837,2024-05,2024-05
1009,2022-05,2022-05
1319,2020-12,2020-12
6038,2025-03,2025-03
2290,2022-12,2022-12
2133,2022-12,2022-12
3060,2021-01,2021-01
3705,2021-11,2021-11
7932,2020-09,2020-09
4295,2025-02,2025-02
7118,2020-06,2020-06
8397,2021-12,2021-12
2049,2023-07,2023-07
4770,2025-02,2025-02
2163,2023-12,2023-12
4750,2020-06,2020-06
6413,2024-07,2024-07
5562,2021-03,2021-03
9834,2020-09,2020-09
8744,2021-12,2021-12
7669,2023-06,2023-06
8062,2021-09,2021-09
8651,2020-01,2020-01
2612,2021-03,2021-03
6559,2023-02,2023-02
5073,2022-02,2022-02
8350,2025-02,2025-02
5563,2021-11,2021-11
8260,2024-11,2024-11
2604,2021-08,2021-08
1241,2024-01,2024-01
3724,2021-09,2021-09
4502,2023-10,2023-10
3697,2022-02,2022-02
5345,2020-10,2020-10
5673,2025-04,2025-04
8973,2024-08,2024-08
4566,2020-12,2020-12
9883,2020-07,2020-07
1936,2023-07,2023-07
9238,2021-03,2021-03
3579,2024-06,2024-06
2312,2021-04,2021-04
2113,2022-03,2022-03
7615,2024-01,2024-01
5033,2020-02,2020-02
2343,2021-07,2021-07
9565,2023-03,2023-03
4346,2023-04,2023-04
4910,2023-07,2023-07
5915,2021-09,2021-09
1152,2024-10,2024-10
2638,2021-09,2021-09
9288,2024-04,2024-04
2127,2020-10,2020-10
5669,2020-08,2020-08
5956,2024-09,2024-09
9666,2020-09,2020-09
5905,2023-08,2023-08
3200,2024-10,2024-10
3546,2020-06,2020-06
4450,2023-04,2023-04
5325,2021-08,2021-08
1832,2022-03,2022-03
5533,2021-08,2021-08
3143,2024-09,2024-09
3647,2022-12,2022-12
8007,2022-02,2022-02
2232,2022-09,2022-09
3442,2023-11,2023-11
3426,2022-03,2022-03
6050,2021-11,2021-11
6862,2021-06,2021-06
2684,2023-09,2023-09
7658,2025-03,2025-03
3532,2025-04,2025-04
3662,2022-06,2022-06
7755,2024-07,2024-07
6442,2024-12,2024-12
5065,2024-02,2024-02
2771,2024-08,2024-08
8711,2023-08,2023-08
6728,2020-03,2020-03
4652,2025-02,2025-02
7528,2024-01,2024-01
5573,2021-06,2021-06
